division,family,genus,specific_epithet,subspecific_epithet,common_name,scientific_name,author,year_of_publication
Pteridophyte,Aspleniaceae,Asplenium,aethiopicum,aethiopicum,,Asplenium aethiopicum aethiopicum,(Burm.f.) Bech.,1935
Pteridophyte,Aspleniaceae,Asplenium,affine,,,Asplenium affine,Sw.,1801
Pteridophyte,Aspleniaceae,Asplenium,amboinense,,,Asplenium amboinense,Willd.,1810
Pteridophyte,Aspleniaceae,Asplenium,anguineum,,,Asplenium anguineum,Christ,1908
Pteridophyte,Aspleniaceae,Asplenium,anisodontum,,,Asplenium anisodontum,C.Presl,1851
Pteridophyte,Aspleniaceae,Asplenium,apoense,,,Asplenium apoense,Copel.,1905
Pteridophyte,Aspleniaceae,Asplenium,callipteris,,,Asplenium callipteris,Fée,1850
Pteridophyte,Aspleniaceae,Asplenium,colubrinum,,,Asplenium colubrinum,Christ,1906
Pteridophyte,Aspleniaceae,Asplenium,crinicaule,,,Asplenium crinicaule,Hance,1866
Pteridophyte,Aspleniaceae,Asplenium,cuneatum,,,Asplenium cuneatum,Lam.,1786
Pteridophyte,Aspleniaceae,Asplenium,cymbifolium,,,Asplenium cymbifolium,Christ,1906
Pteridophyte,Aspleniaceae,Asplenium,elmeri,,,Asplenium elmeri,Christ,1907
Pteridophyte,Aspleniaceae,Asplenium,exiguum,,,Asplenium exiguum,Bedd.,1863
Pteridophyte,Aspleniaceae,Asplenium,griseum,,,Asplenium griseum,Copel.,1905
Pteridophyte,Aspleniaceae,Asplenium,haenkei,,,Asplenium haenkei,Copel.,1947
Pteridophyte,Aspleniaceae,Asplenium,horridum,,,Asplenium horridum,Kaulf.,1824
Pteridophyte,Aspleniaceae,Asplenium,insiticium,,,Asplenium insiticium,Brack.,1854
Pteridophyte,Aspleniaceae,Asplenium,laciniatum,fraser-jenkinsii,,Asplenium laciniatum fraser-jenkinsii,D.Don,1825
Pteridophyte,Aspleniaceae,Asplenium,laserpitiifolium,,,Asplenium laserpitiifolium,Lam.,1786
Pteridophyte,Aspleniaceae,Asplenium,lepturus,,,Asplenium lepturus,J.Sm. ex C.Presl,1851
Pteridophyte,Aspleniaceae,Asplenium,lobulatum,,,Asplenium lobulatum,Mett.,1869
Pteridophyte,Aspleniaceae,Asplenium,longissimum,,,Asplenium longissimum,Blume,1828
Pteridophyte,Aspleniaceae,Asplenium,macrophyllum,,,Asplenium macrophyllum,Sw.,1801
Pteridophyte,Aspleniaceae,Asplenium,mantalingahanum,,,Asplenium mantalingahanum,P.M.Zamora & Co,1980
Pteridophyte,Aspleniaceae,Asplenium,militare,,,Asplenium militare,Copel.,1906
Pteridophyte,Aspleniaceae,Asplenium,musifolium,,,Asplenium musifolium,Mett.,1859
Pteridophyte,Aspleniaceae,Asplenium,nidus,,,Asplenium nidus,L.,1753
Pteridophyte,Aspleniaceae,Asplenium,nigrescens,,,Asplenium nigrescens,Blume,1828
Pteridophyte,Aspleniaceae,Asplenium,normale,,,Asplenium normale,D.Don,1825
Pteridophyte,Aspleniaceae,Asplenium,oxyphyllum,,,Asplenium oxyphyllum,J.Sm. ex Kunze,1846
Pteridophyte,Aspleniaceae,Asplenium,pahlii,,,Asplenium pahlii,Salgado,2021
Pteridophyte,Aspleniaceae,Asplenium,pellucidum,,,Asplenium pellucidum,Lam.,1786
Pteridophyte,Aspleniaceae,Asplenium,perplexum,,,Asplenium perplexum,Salgado,2005
Pteridophyte,Aspleniaceae,Asplenium,persicifolium,,,Asplenium persicifolium,J.Sm. ex Mett.,1856
Pteridophyte,Aspleniaceae,Asplenium,phyllitidis,,,Asplenium phyllitidis,D.Don,1825
Pteridophyte,Aspleniaceae,Asplenium,scandens,,,Asplenium scandens,J.Sm. ex Houlston & T.Moore,1851
Pteridophyte,Aspleniaceae,Asplenium,schizocarpum,,,Asplenium schizocarpum,(Copel.) Copel.,1947
Pteridophyte,Aspleniaceae,Asplenium,scolopendrioides,,,Asplenium scolopendrioides,J.Sm. ex Hook.,1854
Pteridophyte,Aspleniaceae,Asplenium,setisectum,,,Asplenium setisectum,Blume,1828
Pteridophyte,Aspleniaceae,Asplenium,stantoni,,,Asplenium stantoni,Copel.,1906
Pteridophyte,Aspleniaceae,Asplenium,steerei,,,Asplenium steerei,Harr.,1877
Pteridophyte,Aspleniaceae,Asplenium,tenerum,,,Asplenium tenerum,G.Forst.,1786
Pteridophyte,Aspleniaceae,Asplenium,tenuifolium,,,Asplenium tenuifolium,D.Don,1825
Pteridophyte,Aspleniaceae,Asplenium,thunbergii,,,Asplenium thunbergii,Kunze,1836
Pteridophyte,Aspleniaceae,Asplenium,truncatilobum,,,Asplenium truncatilobum,(C.Presl) Fée,1852
Pteridophyte,Aspleniaceae,Asplenium,vittaeforme,,,Asplenium vittaeforme,Cav.,1801
Pteridophyte,Aspleniaceae,Asplenium,vulcanicum,,,Asplenium vulcanicum,Blume,1828
Pteridophyte,Aspleniaceae,Asplenium,yoshinagae,austroindicum,,Asplenium yoshinagae austroindicum,Makino,1900
Pteridophyte,Aspleniaceae,Asplenium,yoshinagae,indicum,,Asplenium yoshinagae indicum,Makino,1900
Pteridophyte,Aspleniaceae,Asplenium,powellii,,,Asplenium powellii,Baker,1867
Pteridophyte,Aspleniaceae,Asplenium,serricula,,,Asplenium serricula,Fée,1852
Pteridophyte,Aspleniaceae,Asplenium,fibrilliferum,,,Asplenium fibrilliferum,Alderw.,1920
Pteridophyte,Aspleniaceae,Asplenium,polyodon,,,Asplenium polyodon,G.Forst.,1786
Pteridophyte,Aspleniaceae,Hymenasplenium,adiantifrons,,,Hymenasplenium adiantifrons,(Hayata) Viane & S.Y.Dong,2013
Pteridophyte,Aspleniaceae,Hymenasplenium,cheilosorum,,,Hymenasplenium cheilosorum,(Kunze ex Mett.) Tagawa,1938
Pteridophyte,Aspleniaceae,Hymenasplenium,excisum,,,Hymenasplenium excisum,(C.Presl) S.Linds.,2009
Pteridophyte,Aspleniaceae,Hymenasplenium,filipes,,,Hymenasplenium filipes,(Copel.) Sugim.,1966
Pteridophyte,Aspleniaceae,Hymenasplenium,obscurum,,,Hymenasplenium obscurum,(Blume) Tagawa,1938
Pteridophyte,Aspleniaceae,Hymenasplenium,ofeliae,,,Hymenasplenium ofeliae,(Salgado) Barcelona & Pelser,2021
Pteridophyte,Aspleniaceae,Hymenasplenium,subnormale,,,Hymenasplenium subnormale,(Copel.) Nakaike,1992
Pteridophyte,Aspleniaceae,Hymenasplenium,obliquissimum,,,Hymenasplenium obliquissimum,(Hayata) Sugim.,1966
Pteridophyte,Aspleniaceae,Hymenasplenium,pubirhizoma,,,Hymenasplenium pubirhizoma,(Ching & Z.Y.Liu) K.W.Xu & Li Bing Zhang,2018
Pteridophyte,Aspleniaceae,Hymenasplenium,unilaterale,,,Hymenasplenium unilaterale,(Lam.) Hayata,1927
Pteridophyte,Blechnaceae,Blechnum,egregium,,,Blechnum egregium,Copel.,1905
Pteridophyte,Blechnaceae,Blechnum,finlaysonianum,,,Blechnum finlaysonianum,Wall. ex Hook. & Grev.,1832
Pteridophyte,Blechnaceae,Blechnum,fraseri,,,Blechnum fraseri,(A.Cunn.) Luerss.,1876
Pteridophyte,Blechnaceae,Blechnum,insigne,,,Blechnum insigne,(Hook.) C.M.Kuo,1985
Pteridophyte,Blechnaceae,Blechnum,melanocaulon,melanocaulon,,Blechnum melanocaulon melanocaulon,(Brack.) T.C.Chambers & P.A.Farrant,2001
Pteridophyte,Blechnaceae,Blechnum,melanocaulon,pallens,,Blechnum melanocaulon pallens,(Brack.) T.C.Chambers & P.A.Farrant,2001
Pteridophyte,Blechnaceae,Blechnum,orientale,,,Blechnum orientale,L.,1753
Pteridophyte,Blechnaceae,Blechnum,patersonii,,,Blechnum patersonii,(R.Br.) Mett.,1856
Pteridophyte,Blechnaceae,Blechnum,revolutum,,,Blechnum revolutum,(Alderw.) C.Chr.,1934
Pteridophyte,Blechnaceae,Blechnum,vestitum,,,Blechnum vestitum,(Blume) Kuhn,1869
Pteridophyte,Blechnaceae,Blechnum,vulcanicum,,,Blechnum vulcanicum,(Blume) Kuhn,1869
Pteridophyte,Blechnaceae,Blechnum,fluviatile,,,Blechnum fluviatile,(R.Br.) Lowe,1883
Pteridophyte,Blechnaceae,Stenochlaena,areolaris,,,Stenochlaena areolaris,(Harr.) Copel.,1908
Pteridophyte,Blechnaceae,Stenochlaena,cumingii,,,Stenochlaena cumingii,Holttum,1971
Pteridophyte,Blechnaceae,Stenochlaena,milnei,,,Stenochlaena milnei,Underw.,1906
Pteridophyte,Blechnaceae,Stenochlaena,palustris,,,Stenochlaena palustris,(Burm.f.) Bedd.,1876
Pteridophyte,Blechnaceae,Telmatoblechnum,indicum,,,Telmatoblechnum indicum,"(Burm.f.) Perrie, D.J.Ohlsen & Brownsey",2014
Pteridophyte,Blechnaceae,Woodwardia,prolifera,,,Woodwardia prolifera,Hook. & Arn.,1841
Pteridophyte,Blechnaceae,Woodwardia,unigemmata,,,Woodwardia unigemmata,(Makino) Nakai,1925
Pteridophyte,Cyatheaceae,Alsophila,acuminata,,,Alsophila acuminata,(Copel.) R.M.Tryon,1970
Pteridophyte,Cyatheaceae,Alsophila,apoensis,,,Alsophila apoensis,(Copel.) R.M.Tryon,1970
Pteridophyte,Cyatheaceae,Alsophila,atropurpurea,,,Alsophila atropurpurea,(Copel.) C.Chr.,1913
Pteridophyte,Cyatheaceae,Alsophila,callosa,,,Alsophila callosa,(Christ) R.M.Tryon,1970
Pteridophyte,Cyatheaceae,Alsophila,cinerea,,,Alsophila cinerea,(Copel.) R.M.Tryon,1970
Pteridophyte,Cyatheaceae,Alsophila,commutata,,,Alsophila commutata,Mett.,1863
Pteridophyte,Cyatheaceae,Alsophila,edanoi,,,Alsophila edanoi,(Copel.) R.M.Tryon,1970
Pteridophyte,Cyatheaceae,Alsophila,fenicis,,,Alsophila fenicis,(Copel.) C.Chr.,1913
Pteridophyte,Cyatheaceae,Alsophila,ferruginea,,,Alsophila ferruginea,(Christ) R.M.Tryon,1970
Pteridophyte,Cyatheaceae,Alsophila,fuliginosa,,,Alsophila fuliginosa,Christ,1898
Pteridophyte,Cyatheaceae,Alsophila,halconensis,,,Alsophila halconensis,(Christ) R.M.Tryon,1970
Pteridophyte,Cyatheaceae,Alsophila,hermannii,,,Alsophila hermannii,R.M.Tryon,1970
Pteridophyte,Cyatheaceae,Alsophila,heterochlamydea,,,Alsophila heterochlamydea,(Copel.) R.M.Tryon,1970
Pteridophyte,Cyatheaceae,Alsophila,latebrosa,,,Alsophila latebrosa,Wall. ex Hook.,1844
Pteridophyte,Cyatheaceae,Alsophila,latipinnula,,,Alsophila latipinnula,(Copel.) R.M.Tryon,1970
Pteridophyte,Cyatheaceae,Alsophila,loheri,,,Alsophila loheri,(Christ) R.M.Tryon,1970
Pteridophyte,Cyatheaceae,Alsophila,lurida,,,Alsophila lurida,(Blume) Hook.,1844
Pteridophyte,Cyatheaceae,Alsophila,masapilidensis,,,Alsophila masapilidensis,(Copel.) R.M.Tryon,1970
Pteridophyte,Cyatheaceae,Alsophila,microchlamys,,,Alsophila microchlamys,(Holttum) R.M.Tryon,1970
Pteridophyte,Cyatheaceae,Alsophila,negrosiana,,,Alsophila negrosiana,(Christ) R.M.Tryon,1970
Pteridophyte,Cyatheaceae,Alsophila,rufopannosa,,,Alsophila rufopannosa,(Christ) R.M.Tryon,1970
Pteridophyte,Cyatheaceae,Alsophila,setulosa,,,Alsophila setulosa,(Copel.) R.M.Tryon,1970
Pteridophyte,Cyatheaceae,Alsophila,speciosa,,,Alsophila speciosa,C.Presl,1836
Pteridophyte,Cyatheaceae,Sphaeropteris,binuangensis,,,Sphaeropteris binuangensis,(Alderw.) R.M.Tryon,1970
Pteridophyte,Cyatheaceae,Sphaeropteris,curranii,,,Sphaeropteris curranii,(Copel.) R.M.Tryon,1970
Pteridophyte,Cyatheaceae,Sphaeropteris,elmeri,,,Sphaeropteris elmeri,(Copel.) R.M.Tryon,1970
Pteridophyte,Cyatheaceae,Sphaeropteris,glauca,,,Sphaeropteris glauca,(Blume) R.M.Tryon,1970
Pteridophyte,Cyatheaceae,Sphaeropteris,integra,,,Sphaeropteris integra,(J.Sm. ex Hook.) R.M.Tryon,1970
Pteridophyte,Cyatheaceae,Sphaeropteris,lepifera,,,Sphaeropteris lepifera,(J.Sm. ex Hook.) R.M.Tryon,1970
Pteridophyte,Cyatheaceae,Sphaeropteris,obliqua,,,Sphaeropteris obliqua,(Copel.) R.M.Tryon,1970
Pteridophyte,Cyatheaceae,Sphaeropteris,philippinensis,,,Sphaeropteris philippinensis,(Baker) R.M.Tryon,1970
Pteridophyte,Cyatheaceae,Sphaeropteris,polypoda,,,Sphaeropteris polypoda,(Baker) R.M.Tryon,1970
Pteridophyte,Cyatheaceae,Sphaeropteris,robinsonii,,,Sphaeropteris robinsonii,(Copel.) R.M.Tryon,1970
Pteridophyte,Cyatheaceae,Sphaeropteris,sibuyanensis,,,Sphaeropteris sibuyanensis,(Copel.) R.M.Tryon,1970
Pteridophyte,Cyatheaceae,Sphaeropteris,suluensis,,,Sphaeropteris suluensis,(Baker) R.M.Tryon,1970
Pteridophyte,Cyatheaceae,Sphaeropteris,trichophora,,,Sphaeropteris trichophora,(Copel.) R.M.Tryon,1970
Pteridophyte,Cyatheaceae,Sphaeropteris,tripinnata,,,Sphaeropteris tripinnata,(Copel.) R.M.Tryon,1970
Pteridophyte,Cyatheaceae,Sphaeropteris,zamboangana,,,Sphaeropteris zamboangana,(Copel.) R.M.Tryon,1970
Pteridophyte,Cyatheaceae,Sphaeropteris,squamulata,,,Sphaeropteris squamulata,(Blume) R.M.Tryon,1970
Pteridophyte,Davalliaceae,Davallia,angustata,,,Davallia angustata,Wall. ex Hook. & Grev.,1832
Pteridophyte,Davalliaceae,Davallia,brevipes,,,Davallia brevipes,Copel.,1906
Pteridophyte,Davalliaceae,Davallia,denticulata,,,Davallia denticulata,(Burm.f.) Mett.,1867
Pteridophyte,Davalliaceae,Davallia,divaricata,,,Davallia divaricata,Blume,1828
Pteridophyte,Davalliaceae,Davallia,embolostegia,,,Davallia embolostegia,Copel.,1906
Pteridophyte,Davalliaceae,Davallia,epiphylla,,,Davallia epiphylla,(G.Forst.) Sw.,1806
Pteridophyte,Davalliaceae,Davallia,falcinella,,,Davallia falcinella,C.Presl,1825
Pteridophyte,Davalliaceae,Davallia,heterophylla,,,Davallia heterophylla,Sm.,1793
Pteridophyte,Davalliaceae,Davallia,lorrainii,,,Davallia lorrainii,Hance,1866
Pteridophyte,Davalliaceae,Davallia,pectinata,,,Davallia pectinata,Sm.,1793
Pteridophyte,Davalliaceae,Davallia,pusilloides,,,Davallia pusilloides,(Copel. ex Alderw.) Parris,2018
Pteridophyte,Davalliaceae,Davallia,repens,,,Davallia repens,(L.f.) Kuhn,1867
Pteridophyte,Davalliaceae,Davallia,sessilifolia,,,Davallia sessilifolia,Blume,1828
Pteridophyte,Davalliaceae,Davallia,solida,,,Davallia solida,(G.Forst.) Sw.,1801
Pteridophyte,Davalliaceae,Davallia,trichomanoides,,,Davallia trichomanoides,Blume,1828
Pteridophyte,Davalliaceae,Davallia,wagneriana,,,Davallia wagneriana,Copel.,1905
Pteridophyte,Davalliaceae,Davallodes,hirsuta,,,Davallodes hirsuta,(C.Presl) Copel.,1908
Pteridophyte,Davalliaceae,Davallodes,hymenophylloides,,,Davallodes hymenophylloides,(Blume) M.Kato & Tsutsumi,2008
Pteridophyte,Dennstaedtiaceae,Dennstaedtia,articulata,,,Dennstaedtia articulata,Copel.,1908
Pteridophyte,Dennstaedtiaceae,Dennstaedtia,dennstaedtioides,,,Dennstaedtia dennstaedtioides,(Copel.) Copel.,1907
Pteridophyte,Dennstaedtiaceae,Dennstaedtia,elmeri,,,Dennstaedtia elmeri,Copel.,1907
Pteridophyte,Dennstaedtiaceae,Dennstaedtia,fusca,,,Dennstaedtia fusca,Copel.,1952
Pteridophyte,Dennstaedtiaceae,Dennstaedtia,glabrata,,,Dennstaedtia glabrata,(Ces.) C.Chr.,1905
Pteridophyte,Dennstaedtiaceae,Dennstaedtia,hirsuta,,,Dennstaedtia hirsuta,(Sw.) Mett. ex Miq.,1867
Pteridophyte,Dennstaedtiaceae,Dennstaedtia,hooveri,,,Dennstaedtia hooveri,Christ,1907
Pteridophyte,Dennstaedtiaceae,Dennstaedtia,macgregorii,,,Dennstaedtia macgregorii,Copel.,1952
Pteridophyte,Dennstaedtiaceae,Dennstaedtia,merrillii,,,Dennstaedtia merrillii,Copel.,1907
Pteridophyte,Dennstaedtiaceae,Dennstaedtia,philippinensis,,,Dennstaedtia philippinensis,Copel.,1920
Pteridophyte,Dennstaedtiaceae,Dennstaedtia,resinifera,,,Dennstaedtia resinifera,(Blume) Mett. ex Kuhn,1869
Pteridophyte,Dennstaedtiaceae,Dennstaedtia,rufidula,,,Dennstaedtia rufidula,C.Chr.,1934
Pteridophyte,Dennstaedtiaceae,Dennstaedtia,scandens,,,Dennstaedtia scandens,(Blume) T.Moore,1861
Pteridophyte,Dennstaedtiaceae,Dennstaedtia,smithii,,,Dennstaedtia smithii,(Hook.) T.Moore,1861
Pteridophyte,Dennstaedtiaceae,Dennstaedtia,williamsii,,,Dennstaedtia williamsii,Copel.,1906
Pteridophyte,Dennstaedtiaceae,Dennstaedtia,zeylanica,,,Dennstaedtia zeylanica,(Sw.) Zink ex Fraser-Jenk. & Kandel,2015
Pteridophyte,Dennstaedtiaceae,Histiopteris,incisa,,,Histiopteris incisa,(Thunb.) J.Sm.,1875
Pteridophyte,Dennstaedtiaceae,Hypolepis,alpina,,,Hypolepis alpina,(Blume) Hook.,1852
Pteridophyte,Dennstaedtiaceae,Hypolepis,bamleriana,,,Hypolepis bamleriana,Rosenst.,1912
Pteridophyte,Dennstaedtiaceae,Hypolepis,malesiana,,,Hypolepis malesiana,Brownsey,1987
Pteridophyte,Dennstaedtiaceae,Hypolepis,polypodioides,,,Hypolepis polypodioides,(Blume) Hook.,1852
Pteridophyte,Dennstaedtiaceae,Hypolepis,resistens,,,Hypolepis resistens,(Kunze) Hook.,1852
Pteridophyte,Dennstaedtiaceae,Hypolepis,rugosula,rudis,,Hypolepis rugosula rudis,(Labill.) J.Sm.,1846
Pteridophyte,Dennstaedtiaceae,Hypolepis,tenuifolia,,,Hypolepis tenuifolia,(G.Forst.) Bernh.,1805
Pteridophyte,Dennstaedtiaceae,Hypolepis,pallida,,,Hypolepis pallida,(Blume) Hook.,1852
Pteridophyte,Dennstaedtiaceae,Hypolepis,punctata,,,Hypolepis punctata,(Thunb.) Mett.,1868
Pteridophyte,Dennstaedtiaceae,Microlepia,matthewii,,,Microlepia matthewii,Christ,1909
Pteridophyte,Dennstaedtiaceae,Microlepia,pilosiuscula,,,Microlepia pilosiuscula,(Sm.) C.V.Morton,1974
Pteridophyte,Dennstaedtiaceae,Microlepia,platyphylla,,,Microlepia platyphylla,(D.Don) J.Sm.,1842
Pteridophyte,Dennstaedtiaceae,Microlepia,protracta,,,Microlepia protracta,Copel.,1952
Pteridophyte,Dennstaedtiaceae,Microlepia,speluncae,,,Microlepia speluncae,(L.) T.Moore,1857
Pteridophyte,Dennstaedtiaceae,Microlepia,strigosa,,,Microlepia strigosa,(Thunb.) C.Presl,1851
Pteridophyte,Dennstaedtiaceae,Microlepia,todayensis,,,Microlepia todayensis,Christ,1908
Pteridophyte,Dennstaedtiaceae,Microlepia,firma,,,Microlepia firma,Mett.,1869
Pteridophyte,Dennstaedtiaceae,Microlepia,rhomboidea,,,Microlepia rhomboidea,(Hook.) C.Presl ex Prantl,1892
Pteridophyte,Dennstaedtiaceae,Monachosorum,henryi,,,Monachosorum henryi,Christ,1898
Pteridophyte,Dennstaedtiaceae,Monachosorum,subdigitatum,,,Monachosorum subdigitatum,(Blume) Kuhn,1882
Pteridophyte,Dennstaedtiaceae,Paesia,elmeri,,,Paesia elmeri,Copel.,1910
Pteridophyte,Dennstaedtiaceae,Paesia,radula,,,Paesia radula,(Baker) C.Chr.,1906
Pteridophyte,Dennstaedtiaceae,Pteridium,aquilinum,,,Pteridium aquilinum,(L.) Kuhn,1879
Pteridophyte,Dennstaedtiaceae,Pteridium,rostratum,,,Pteridium rostratum,(Burm.f.) Fraser-Jenk.,2019
Pteridophyte,Dicksoniaceae,Calochlaena,javanica,,,Calochlaena javanica,(Blume) M.D.Turner & R.A.White,1988
Pteridophyte,Dicksoniaceae,Calochlaena,straminea,,,Calochlaena straminea,(Labill.) M.D.Turner & R.A.White,1988
Pteridophyte,Dicksoniaceae,Dicksonia,amorosoana,,,Dicksonia amorosoana,Lehnert & Coritico,2018
Pteridophyte,Dicksoniaceae,Dicksonia,mollis,,,Dicksonia mollis,Holttum,1962
Pteridophyte,Dryopteridaceae,Arachniodes,amabilis,,,Arachniodes amabilis,(Blume) Tindale,1961
Pteridophyte,Dryopteridaceae,Arachniodes,carvifolia,,,Arachniodes carvifolia,(Kunze) Ching,1962
Pteridophyte,Dryopteridaceae,Arachniodes,cornu-cervi,,,Arachniodes cornu-cervi,(D.Don) Fraser-Jenk.,2008
Pteridophyte,Dryopteridaceae,Arachniodes,tripinnata,,,Arachniodes tripinnata,(Goldm.) Sledge,1973
Pteridophyte,Dryopteridaceae,Arachniodes,coniifolia,,,Arachniodes coniifolia,(T.Moore) Ching,1962
Pteridophyte,Dryopteridaceae,Arachniodes,sledgei,,,Arachniodes sledgei,Fraser-Jenk.,2008
Pteridophyte,Dryopteridaceae,Arthrobotrya,articulata,,,Arthrobotrya articulata,(Hook.) J.Sm.,1875
Pteridophyte,Dryopteridaceae,Bolbitis,angustipinna,,,Bolbitis angustipinna,(Hayata) H.Ito,1938
Pteridophyte,Dryopteridaceae,Bolbitis,appendiculata,,,Bolbitis appendiculata,(Willd.) K.Iwats.,1959
Pteridophyte,Dryopteridaceae,Bolbitis,×,,,Bolbitis ×,(Fée) Ching,1934
Pteridophyte,Dryopteridaceae,Bolbitis,heteroclita,,,Bolbitis heteroclita,(C.Presl) Ching,1934
Pteridophyte,Dryopteridaceae,Bolbitis,inconstans,,,Bolbitis inconstans,(Copel.) Ching,1934
Pteridophyte,Dryopteridaceae,Bolbitis,quoyana,,,Bolbitis quoyana,(Gaudich.) Ching,1934
Pteridophyte,Dryopteridaceae,Bolbitis,repanda,,,Bolbitis repanda,(Blume) Schott,1835
Pteridophyte,Dryopteridaceae,Bolbitis,rhizophylla,,,Bolbitis rhizophylla,(Kaulf.) Hennipman,1970
Pteridophyte,Dryopteridaceae,Bolbitis,scalpturata,,,Bolbitis scalpturata,(Fée) Ching,1934
Pteridophyte,Dryopteridaceae,Bolbitis,sinuata,,,Bolbitis sinuata,(C.Presl) Hennipman,1970
Pteridophyte,Dryopteridaceae,Bolbitis,×,,,Bolbitis ×,(Fée) Copel.,1960
Pteridophyte,Dryopteridaceae,Bolbitis,feeiana,,,Bolbitis feeiana,(Copel.) Fraser-Jenk. & Gandhi,2018
Pteridophyte,Dryopteridaceae,Ctenitis,aciculata,,,Ctenitis aciculata,(Baker) Ching,1938
Pteridophyte,Dryopteridaceae,Ctenitis,atrorubens,,,Ctenitis atrorubens,Holttum,1985
Pteridophyte,Dryopteridaceae,Ctenitis,boholensis,,,Ctenitis boholensis,Holttum,1985
Pteridophyte,Dryopteridaceae,Ctenitis,bulusanica,,,Ctenitis bulusanica,Holttum,1985
Pteridophyte,Dryopteridaceae,Ctenitis,decurrentipinnata,,,Ctenitis decurrentipinnata,(Ching) Tardieu & C.Chr.,1938
Pteridophyte,Dryopteridaceae,Ctenitis,eatonii,,,Ctenitis eatonii,(Baker) Ching,1938
Pteridophyte,Dryopteridaceae,Ctenitis,erythradenia,,,Ctenitis erythradenia,Holttum,1985
Pteridophyte,Dryopteridaceae,Ctenitis,humilis,,,Ctenitis humilis,Holttum,1985
Pteridophyte,Dryopteridaceae,Ctenitis,paleolata,,,Ctenitis paleolata,Copel.,1952
Pteridophyte,Dryopteridaceae,Ctenitis,pallens,,,Ctenitis pallens,(Brack.) M.G.Price,1983
Pteridophyte,Dryopteridaceae,Ctenitis,propinqua,,,Ctenitis propinqua,(J.Sm. ex C.Presl) Copel.,1985
Pteridophyte,Dryopteridaceae,Ctenitis,setosa,,,Ctenitis setosa,(C.Presl) Holttum,1969
Pteridophyte,Dryopteridaceae,Ctenitis,silvatica,,,Ctenitis silvatica,Holttum,1985
Pteridophyte,Dryopteridaceae,Ctenitis,subglandulosa,,,Ctenitis subglandulosa,(Hance) Ching,1938
Pteridophyte,Dryopteridaceae,Ctenitis,subobscura,,,Ctenitis subobscura,(Christ) Holttum,1984
Pteridophyte,Dryopteridaceae,Ctenitis,subconnexa,,,Ctenitis subconnexa,(Christ) Holttum,1985
Pteridophyte,Dryopteridaceae,Cyrtomium,caryotideum,,,Cyrtomium caryotideum,(Wall. ex Hook. & Grev.) C.Presl,1836
Pteridophyte,Dryopteridaceae,Cyrtomium,falcatum,falcatum,,Cyrtomium falcatum falcatum,(L.f.) C.Presl,1836
Pteridophyte,Dryopteridaceae,Cyrtomium,fortunei,,,Cyrtomium fortunei,J.Sm.,1866
Pteridophyte,Dryopteridaceae,Dryopteris,alpina,,,Dryopteris alpina,Rosenst.,1913
Pteridophyte,Dryopteridaceae,Dryopteris,cacaina,,,Dryopteris cacaina,Tagawa,1937
Pteridophyte,Dryopteridaceae,Dryopteris,chrysocoma,,,Dryopteris chrysocoma,(Christ) C.Chr.,1905
Pteridophyte,Dryopteridaceae,Dryopteris,cochleata,,,Dryopteris cochleata,(D.Don) C.Chr.,1905
Pteridophyte,Dryopteridaceae,Dryopteris,formosana,,,Dryopteris formosana,(Christ) C.Chr.,1905
Pteridophyte,Dryopteridaceae,Dryopteris,hasseltii,,,Dryopteris hasseltii,(Blume) C.Chr.,1905
Pteridophyte,Dryopteridaceae,Dryopteris,hendersonii,,,Dryopteris hendersonii,(Bedd.) C.Chr.,1905
Pteridophyte,Dryopteridaceae,Dryopteris,hirtipes,,,Dryopteris hirtipes,(Blume) Kuntze,1891
Pteridophyte,Dryopteridaceae,Dryopteris,manipurensis,,,Dryopteris manipurensis,(Bedd.) C.Chr.,1905
Pteridophyte,Dryopteridaceae,Dryopteris,nodosa,,,Dryopteris nodosa,(C.Presl) Li Bing Zhang,2012
Pteridophyte,Dryopteridaceae,Dryopteris,peranema,,,Dryopteris peranema,Li Bing Zhang,2012
Pteridophyte,Dryopteridaceae,Dryopteris,permagna,,,Dryopteris permagna,M.G.Price,1977
Pteridophyte,Dryopteridaceae,Dryopteris,polita,,,Dryopteris polita,Rosenst.,1914
Pteridophyte,Dryopteridaceae,Dryopteris,pseudocaenopteris,,,Dryopteris pseudocaenopteris,(Kunze) Li Bing Zhang,2012
Pteridophyte,Dryopteridaceae,Dryopteris,pulvinulifera,,,Dryopteris pulvinulifera,(Bedd.) Kuntze,1891
Pteridophyte,Dryopteridaceae,Dryopteris,purpurascens,,,Dryopteris purpurascens,(Blume) Christ,1907
Pteridophyte,Dryopteridaceae,Dryopteris,sparsa,rectipinnula,,Dryopteris sparsa rectipinnula,(D.Don) Kuntze,1891
Pteridophyte,Dryopteridaceae,Dryopteris,subarborea,,,Dryopteris subarborea,(Baker) C.Chr.,1905
Pteridophyte,Dryopteridaceae,Dryopteris,subtriangularis,,,Dryopteris subtriangularis,(C.Hope) C.Chr.,1905
Pteridophyte,Dryopteridaceae,Dryopteris,varia,,,Dryopteris varia,(L.) Kuntze,1891
Pteridophyte,Dryopteridaceae,Dryopteris,wallichiana,wallichiana,,Dryopteris wallichiana wallichiana,(Spreng.) Hyl.,1953
Pteridophyte,Dryopteridaceae,Elaphoglossum,angulatum,,,Elaphoglossum angulatum,(Blume) T.Moore,1857
